City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,Departamento de Maldonado,-34.67,-54.92,51.8,81,49,11.41,UY,1593470695
168,Fayaoué,-20.65,166.53,70.23,62,0,17.56,NC,1593470695
169,Sulangan,11.14,123.72,78.64,87,100,16.49,PH,1593470695
170,Laguna,38.42,-121.42,89.01,16,1,8.05,US,1593470695
171,Vila Franca do Campo,37.72,-25.43,69.8,88,75,9.17,PT,1593470695
172,Presidencia Roque Sáenz Peña,-26.79,-60.44,61.7,80,100,6.73,AR,1593470695
173,Pevek,69.7,170.31,33.37,94,6,11.23,RU,1593470695
174,Ikom,5.97,8.71,72.32,98,100,2.19,NG,1593470695
175,Bridlington,54.08,-0.19,55.99,93,41,18.34,GB,1593470696
176,Tzaneen,-23.83,30.16,44.6,52,0,11.41,ZA,1593470696
177,Taunggyi,20.78,97.03,62.38,100,98,2.62,MM,1593470692
178,Kungurtug,50.6,97.52,59.34,62,0,1.41,RU,1593470696
179,Cidreira,-30.18,-50.21,60.69,90,100,19.28,BR,1593470521
180,Torbay,47.67,-52.73,63.0,82,75,13.87,CA,1593470696
181,Port Hedland,-20.32,118.57,55.4,76,69,5.82,AU,1593470696
182,Kingston,18.0,-76.79,86.0,79,75,18.34,JM,1593470582
183,San Policarpo,12.18,125.51,78.98,84,76,6.69,PH,1593470696
184,Nioro,13.35,-15.75,80.1,71,21,10.94,GM,1593470697
185,Rāy,23.68,85.05,78.84,73,20,6.76,IN,1593470697
186,Karasjok,69.47,25.51,41.0,80,100,21.92,NO,1593470697
187,Sept-Îles,50.2,-66.38,69.8,60,20,10.29,CA,1593470421
188,Levelland,33.59,-102.38,100.4,14,20,18.34,US,1593470697
189,Mount Gambier,-37.83,140.77,46.4,75,40,17.22,AU,1593470697
190,New Norfolk,-42.78,147.06,43.0,93,32,2.55,AU,1593470697
191,Coruripe,-10.13,-36.18,74.43,86,8,7.23,BR,1593470697
192,Caceres,39.52,-6.37,81.0,50,0,1.01,ES,1593470697
193,Norman Wells,65.28,-126.83,78.8,36,75,5.82,CA,1593470698
194,Ursulo Galván,22.73,-98.3,93.0,61,96,1.99,MX,1593470698
195,Changde,29.05,111.68,75.11,93,92,2.39,CN,1593470698
196,Mar del Plata,-38.0,-57.56,50.0,66,100,11.41,AR,1593470465
197,Itoman,26.12,127.67,84.2,89,75,20.8,JP,1593470698
198,Iralaya,15.0,-83.23,84.2,79,40,5.82,HN,1593470698
199,Santa Maria,-29.68,-53.81,54.63,95,100,11.43,BR,1593470698
200,Nador,35.17,-2.93,73.4,83,75,3.36,MA,1593470448
201,Nikolskoye,59.7,30.79,62.01,72,80,6.71,RU,1593470699
202,Sitka,57.05,-135.33,55.4,87,75,5.82,US,1593470699
203,Verkhnevilyuysk,63.45,120.32,74.75,49,0,2.57,RU,1593470699
204,Arraial do Cabo,-22.97,-42.03,69.84,73,45,17.34,BR,1593470699
205,Tigil',57.8,158.67,65.39,55,0,5.12,RU,1593470699
206,Cabo Rojo,18.09,-67.15,82.0,88,37,1.01,PR,1593470699
207,San Lazaro,18.04,-88.66,89.6,66,5,11.41,BZ,1593470699
208,Wau,7.7,28.0,72.95,85,47,3.31,SS,1593470699
209,San Fernando,15.03,120.69,77.0,88,75,2.24,PH,1593470699
210,Lae,-6.72,146.98,75.2,78,20,3.36,PG,1593470699
211,Ribeira Grande,38.52,-28.7,68.13,94,34,6.46,PT,1593470700
212,Harindānga,22.04,88.32,80.6,94,40,3.36,IN,1593470700
213,Shingū,33.73,135.98,68.22,94,100,2.51,JP,1593470700
214,Abdulino,53.7,53.67,45.09,93,0,5.79,RU,1593470700
215,Shelbyville,35.48,-86.46,73.99,100,20,1.77,US,1593470506
216,Qasigiannguit,68.82,-51.19,41.0,80,79,8.05,GL,1593470700
217,Līsakovsk,52.54,62.49,54.43,78,100,5.66,KZ,1593470700
218,Kaili,-3.46,120.21,68.94,84,94,1.81,ID,1593470700
219,Cahul,45.91,28.19,73.67,62,2,3.8,MD,1593470701
220,Jumla,29.27,82.18,60.75,68,58,1.1,NP,1593470701
221,Palana,59.12,159.97,50.85,86,97,6.26,RU,1593470701
222,Patawag,8.11,122.62,78.53,81,97,4.36,PH,1593470701
223,Tateyama,34.98,139.87,77.0,78,75,8.05,JP,1593470701
224,Martapura,-3.42,114.85,73.6,94,14,1.01,ID,1593470701
225,Esperance,-33.87,121.9,48.2,87,3,16.11,AU,1593470460
226,Doha,25.29,51.53,89.6,62,0,3.36,QA,1593470404
